season,week,actual_elim,rank_pred,pct_pred,match_rank,match_pct,bias_metric_rank,bias_metric_pct
6,9,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,True,True,0.9999999991999999,46.48978838440962
6,10,,Cristian de la Fuente,Cristian de la Fuente,False,False,0.9999999985000001,0.8020061301008498
7,1,Ted McGinley,Rocco DiSpirito,Ted McGinley,False,True,1.0295909485752823,2.919260677962941
7,2,Kim Kardashian,Kim Kardashian,Kim Kardashian,True,True,0.8832116787541104,0.9896562208329501
7,3,,Cloris Leachman,Cloris Leachman,False,False,1.0424710423080306,0.5072010198782818
7,4,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,True,True,0.9963099629507359,3.1110271574431985
7,5,Toni Braxton,Toni Braxton,Toni Braxton,True,True,1.2537313429841834,2.6909274375852483
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,True,True,1.0425531912176322,1.2617346768726077
7,7,Susan Lucci,Susan Lucci,Susan Lucci,True,True,0.9051724135121877,4.036013252104389
7,8,Maurice Greene,Maurice Greene,Maurice Greene,True,True,1.4705882342128027,16.316274362946906
7,9,Cody Linley,Cody Linley,Cody Linley,True,True,1.0526315780609417,8.020100406867279
7,10,,Lance Bass,Lance Bass,False,False,2.9999999865,4.043746469609846
8,1,,Steve Wozniak,Steve Wozniak,False,False,0.9874791318168264,0.5411614228046374
8,2,Belinda Carlisle,David Alan Grier,Belinda Carlisle,False,True,1.089318600283566,1.3001940596682677
8,3,Denise Richards,Denise Richards,Denise Richards,True,True,0.8428290765612145,0.6631269192132533
8,4,Steve Wozniak,Steve Wozniak,Steve Wozniak,True,True,0.9853420194468842,0.6412081169432207
8,5,David Alan Grier,David Alan Grier,David Alan Grier,True,True,0.9246575341183266,2.4313235215442894
8,6,Steve-O,Steve-O,Steve-O,True,True,0.9572649570904133,1.3819649659628426
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,True,True,0.9702970294676011,4.300781448513099
8,8,Chuck Wicks,Chuck Wicks,Chuck Wicks,True,True,1.0096153842659021,13.555052307819015
8,9,Lil' Kim,Lil' Kim,Lil' Kim,True,True,0.9259259254972564,7.852313373863208
8,10,Ty Murray,Ty Murray,Ty Murray,True,True,0.9999999991999999,8.108187537896601
8,11,,Gilles Marini,Gilles Marini,False,False,0.9999999985000001,6.499307907538099
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,True,True,1.0793650793102545,0.8731656243838585
